PID : COMMAND
1451 : /lib/systemd/systemd
1452 : (sd-pam)
1459 : /usr/bin/pipewire
1460 : /usr/bin/pipewire-media-session
1461 : /usr/bin/pulseaudio
1462 : /usr/bin/ubuntu-report
1465 : /usr/bin/gnome-keyring-daemon
1475 : /usr/libexec/gdm-wayland-session
1477 : /usr/bin/dbus-daemon
1480 : /usr/libexec/gnome-session-binary
1528 : /usr/libexec/gnome-session-ctl
1537 : /usr/libexec/gvfsd
1544 : /usr/libexec/gvfsd-fuse
1546 : /usr/libexec/gnome-session-binary
1567 : /usr/libexec/at-spi-bus-launcher
1573 : /usr/bin/gnome-shell
1575 : /usr/bin/dbus-daemon
1599 : /usr/libexec/xdg-permission-store
1601 : /usr/libexec/gnome-shell-calendar-server
1611 : /usr/libexec/evolution-source-registry
1616 : /usr/libexec/gvfs-udisks2-volume-monitor
1621 : /usr/libexec/goa-daemon
1626 : /usr/libexec/gvfs-goa-volume-monitor
1632 : /usr/libexec/evolution-calendar-factory
1643 : /usr/libexec/goa-identity-service
1647 : /usr/libexec/gvfs-afc-volume-monitor
1657 : /usr/libexec/dconf-service
1660 : /usr/libexec/evolution-addressbook-factory
1664 : /usr/libexec/gvfs-mtp-volume-monitor
1671 : /usr/libexec/gvfs-gphoto2-volume-monitor
1686 : /usr/libexec/gvfsd-trash
1692 : /usr/bin/gjs
1694 : /usr/libexec/at-spi2-registryd
1708 : sh
1709 : /usr/libexec/gsd-a11y-settings
1711 : /usr/libexec/gsd-color
1712 : /usr/libexec/gsd-datetime
1714 : /usr/libexec/gsd-housekeeping
1715 : /usr/libexec/gsd-keyboard
1717 : /usr/libexec/gsd-media-keys
1719 : /usr/libexec/gsd-power
1720 : /usr/libexec/gsd-print-notifications
1722 : /usr/libexec/gsd-rfkill
1723 : /usr/libexec/gsd-screensaver-proxy
1726 : /usr/bin/ibus-daemon
1727 : /usr/libexec/gsd-sharing
1749 : /usr/bin/spice-vdagent
1751 : /usr/libexec/gsd-smartcard
1755 : /usr/libexec/gsd-sound
1764 : /usr/libexec/gsd-wacom
1766 : /usr/bin/Xwayland
1768 : /usr/libexec/ibus-dconf
1790 : /usr/libexec/ibus-extension-gtk3
1802 : /usr/libexec/ibus-portal
1819 : /usr/libexec/gsd-printer
1830 : /usr/libexec/ibus-engine-simple
1854 : /usr/libexec/xdg-desktop-portal
1860 : /usr/libexec/xdg-document-portal
1869 : /usr/libexec/xdg-desktop-portal-gnome
1872 : /usr/bin/gjs
1889 : /usr/libexec/gsd-xsettings
1926 : /usr/libexec/ibus-x11
1936 : /usr/libexec/tracker-miner-fs-3
1945 : /usr/libexec/xdg-desktop-portal-gtk
1973 : /usr/libexec/evolution-data-server/evolution-alarm-notify
1975 : /usr/libexec/gsd-disk-utility-notify
2040 : /usr/libexec/gvfsd-metadata
2218 : update-notifier
2278 : /usr/bin/nautilus
4775 : gjs
32213 : /usr/libexec/gnome-terminal-server
32241 : bash
32259 : /usr/bin/gedit
32307 : bash
32387 : bash
32390 : ps
32391 : awk
